Months,CPI,AverageMonthlyIndustrialSalary,AverageMonthlyIndustrialOccupation,ProductSales,ProductPrices,InflationWithoutProductsAndEnergy,UnemploymentRate
128,3.912,5.2,2.8,7,8.4,2.6,11.8
129,4.323,5.1,2.5,6.3,8.5,2.8,11.8
130,4.78,4.4,2.5,8,9.1,3,12.1
131,4.631,4.4,2.3,7.7,8.2,3.1,12.5
132,4.096,8.1,0.9,8.5,7.9,2.5,13.2
133,4.326,4.3,0.5,4.6,6,2.6,13.4
134,3.916,3.8,0.5,0.9,4.4,2.4,13.3
135,4.037,3.4,0.3,2.6,4.4,2.7,12.9
136,3.643,3.8,0.3,4.2,5.2,2.3,12.6
137,4.3,4.3,0.1,1,4.4,2.3,12.3
138,4,2.4,0,5.2,3.6,2.3,12.3
139,3.8,2.7,0,0.2,3,2.1,12.4
140,3.8,1.6,0,-4.8,1.8,1.9,12.4
141,3.4,2.8,0,4.7,1,1.9,12.5
142,2.8,2.7,-0.3,-0.5,-0.1,1.7,12.9
143,2.4,2.4,-0.5,-9.6,-1.1,1.4,13.4
144,1.7,0.4,-0.8,0.4,-1.2,1.4,14.2
145,1.3,4,-0.8,-2.1,-0.3,1.1,14.4
146,1,1.6,-0.9,-2.9,-0.7,1,14.3
147,0.8,3,-1,2.8,-2.1,1.1,14
148,0.5,2.3,-0.9,-1.8,-2.5,1,13.6
149,0.2,1.4,-0.8,2.8,-1.3,0.9,13.2
150,1.1,3.5,-0.7,6.3,-0.8,1.4,13.1
151,1.1,2,-0.5,2.2,-1.1,1.4,13
152,1,3.6,-0.3,6.3,-1.4,1.3,13
153,0.8,3.1,-0.2,4.6,-1.4,1.4,13
154,0.6,3.1,0.1,2.9,-1.5,1.1,13.2
155,0.7,2.7,0.3,6.7,-1,1,13.4
156,0.5,3.4,0,4.2,-1,0.4,13.9
157,0.7,4,0.2,5.3,-1.4,0.9,13.9
158,0.7,4.8,0.5,5.5,-1.3,1.1,13.5
159,0.3,3.8,0.7,5.5,-0.7,0.8,13
160,0.2,4.8,0.7,4.4,-1,0.8,12.5
161,0.3,3.5,0.7,1.8,-1.8,1,12
162,-0.2,3.5,0.8,2.4,-2.1,0.4,11.8
163,-0.3,3.5,0.7,-1.9,-1.5,0.5,11.7
164,-0.3,3.4,0.8,4.2,-1.6,0.7,11.5
165,-0.6,3.8,0.8,1.7,-1.3,0.2,11.3
166,-0.6,2.7,0.9,0.3,-1.6,0.4,11.4
167,-1,3.7,1.1,8.1,-2.7,0.5,11.4
168,-1.4,3.6,1.2,1.6,-2.8,0.6,11.9
169,-1.6,3.2,1.2,5,-2.8,0.4,11.9
170,-1.5,4.9,1.1,8.8,-2.5,0.2,11.5
171,-1.1,3.7,1.1,2.4,-2.7,0.4,11.1
172,-0.9,3.2,1.1,2.8,-2.1,0.4,10.7
173,-0.8,2.5,0.9,7.4,-1.4,0.2,10.2
174,-0.7,3.3,0.9,3.8,-1.8,0.4,10
175,-0.6,3.4,1,5.3,-2.7,0.4,9.9
176,-0.8,4.1,1,4,-2.8,0.2,9.7
177,-0.7,3.3,1.1,2.4,-2.3,0.3,9.6
178,-0.6,4,1.2,7.8,-1.8,0.2,9.6
179,-0.5,3.1,1.4,6.7,-0.8,0.2,9.7
180,-0.9,4,2.3,1.2,-1.2,-0.1,10.2
181,-0.8,3.9,2.5,6.6,-1.5,-0.1,10.2
182,-0.9,3.3,2.7,0.7,-1.9,-0.2,9.9
183,-1.1,4.6,2.8,5.9,-1.2,-0.4,9.4
184,-0.9,4.1,2.8,3.3,-0.4,-0.4,9.1
185,-0.8,5.3,3.1,6,-0.8,-0.2,8.7
186,-0.9,4.8,3.2,-3.4,-0.5,-0.4,8.5
187,-0.8,4.7,3.1,7.5,-0.1,-0.4,8.4
188,-0.5,3.9,3.2,3.1,0.2,-0.4,8.3
189,-0.2,3.6,3.1,-1.2,0.6,-0.2,8.2
190,0,4,3.1,3,1.8,-0.1,8.2
191,0.8,2.7,3.1,2.2,3.2,0,8.2
192,1.8,4.3,4.5,9.3,4,0.2,8.5
193,2.2,4,4.6,1.2,4.5,0.3,8.4
194,2,5.2,4.5,11,4.8,0.6,8
195,2,4.1,4.6,-0.4,4.2,0.9,7.6
196,1.9,5.4,4.5,9.2,2.4,0.8,7.3
197,1.5,6,4.3,4.4,1.8,0.8,7
198,1.7,4.9,4.5,6.2,2.2,0.8,7
199,1.8,6.6,4.6,8.8,3,0.7,7
200,2.2,6,4.5,4.4,3.2,1,6.8
201,2.1,7.4,4.4,12.3,3,0.8,6.6
202,2.5,6.5,4.5,9.2,1.8,0.9,6.5
203,2.1,7.3,4.6,2.8,0.3,0.9,6.6
204,1.9,7.3,3.8,8.7,0.2,1,6.8
205,1.4,6.8,3.7,7.3,-0.1,0.8,6.8
206,1.3,6.7,3.7,1.6,0.5,0.7,6.6
207,1.6,7.8,3.7,9.3,1,0.6,6.3
208,1.7,7,3.7,5.2,3,0.5,6.1
209,2,7.5,3.7,6.7,3.7,0.6,5.8
210,2,7.2,3.5,10.3,3.4,0.6,5.8
211,2,6.8,3.4,5,3,0.9,5.8
212,1.9,6.7,3.2,2.7,3,0.8,5.7
213,1.7,7.6,3.2,7.4,3.2,0.9,5.7
214,1.3,7.7,3,4.6,2.8,0.7,5.7
215,1.1,6.1,2.8,2.9,2.1,0.6,5.8
216,0.7,7.5,2.9,6,2.2,0.8,6.1
217,1.2,7.6,2.9,6.9,2.9,1,6.1
218,1.7,5.7,3,5.6,2.5,1.4,5.9
219,2.2,7.1,2.9,9.2,2.6,1.7,5.6
220,2.4,7.7,2.7,7.7,1.4,1.7,5.4
221,2.6,5.3,2.8,-2.6,0.5,1.9,5.3
222,2.9,7.4,2.7,5.8,0.5,2.2,5.2
223,2.9,6.8,2.6,-1.5,0.9,2.2,5.2
224,2.6,6.6,2.6,5.6,0.8,2.4,5.1
225,2.5,5.9,2.5,3.7,-0.3,2.4,5
226,2.6,5.3,2.6,1.4,-0.1,2.6,5.1
